code,description,start_date,last_modified,notes
M1,X-ray not taken within the past 12 months or near enough to the start of treatment.,01/01/1997,,
M10,Equipment purchases are limited to the first or the tenth month of medical necessity.,01/01/1997,,
M100,"We do not pay for an oral anti-emetic drug that is not administered for use immediately before, at, or within 48 hours of administration of a covered chemotherapy drug.",01/01/1997,,
M102,Service not performed on equipment approved by the FDA for this purpose.,01/01/1997,,
M103,"Information supplied supports a break in therapy. However, the medical information we have for this patient does not support the need for this item as billed. We have approved payment for this item at a reduced level, and a new capped rental period will begin with the delivery of this equipment.",01/01/1997,,
M104,Information supplied supports a break in therapy. A new capped rental period will begin with delivery of the equipment. This is the maximum approved under the fee schedule for this item or service.,01/01/1997,,
M105,"Information supplied does not support a break in therapy. The medical information we have for this patient does not support the need for this item as billed. We have approved payment for this item at a reduced level, and a new capped rental period will not begin.",01/01/1997,,
M107,Payment reduced as 90-day rolling average hematocrit for ESRD patient exceeded 36.5%.,01/01/1997,,
M109,We have provided you with a bundled payment for a teleconsultation. You must send 25 percent of the teleconsultation payment to the referring practitioner.,01/01/1997,,
M11,"DME, orthotics and prosthetics must be billed to the DME carrier who services the patient's zip code.",01/01/1997,,
M111,We do not pay for chiropractic manipulative treatment when the patient refuses to have an x-ray taken.,01/01/1997,,
M112,Reimbursement for this item is based on the single payment amount required under the DMEPOS Competitive Bidding Program for the area where the patient resides.,01/01/1997,11/05/2007,Modified 11/5/07
M113,Our records indicate that this patient began using this item/service prior to the current contract period for the DMEPOS Competitive Bidding Program.,01/01/1997,11/05/2007,Modified 11/5/07
M114,"This service was processed in accordance with rules and guidelines under the DMEPOS Competitive Bidding Program or a Demonstration Project. For more information regarding these projects, contact your local contractor.",01/01/1997,11/05/2007,"Modified 8/1/06, 11/5/07"
M115,This item is denied when provided to this patient by a non-contract or non-demonstration supplier.,01/01/1997,11/05/2007,Modified 11/5/2007
M116,Processed under a demonstration project or program. Project or program is ending and additional services may not be paid under this project or program.,01/01/1997,03/08/2011,"Modified 2/1/04, 3/15/11"
M117,Not covered unless submitted via electronic claim.,01/01/1997,06/30/2003,Modified 6/30/03
M119,Missing/incomplete/invalid/ deactivated/withdrawn National Drug Code (NDC).,01/01/1997,04/01/2007,"Modified 2/28/03, 4/1/04"
M12,Diagnostic tests performed by a physician must indicate whether purchased services are included on the claim.,01/01/1997,,
M121,We pay for this service only when performed with a covered cryosurgical ablation.,01/01/1997,,
M122,Missing/incomplete/invalid level of subluxation.,01/01/1997,02/28/2006,Modified 2/28/03
M123,"Missing/incomplete/invalid name, strength, or dosage of the drug furnished.",01/01/1997,02/28/2003,Modified 2/28/03
M124,Missing indication of whether the patient owns the equipment that requires the part or supply.,01/01/1997,02/28/2003,Modified 2/28/03
M125,Missing/incomplete/invalid information on the period of time for which the service/supply/equipment will be needed.,01/01/1997,02/28/2003,Modified 2/28/03
M126,Missing/incomplete/invalid individual lab codes included in the test.,01/01/1997,02/28/2003,Modified 2/28/03
M127,Missing patient medical record for this service.,01/01/1997,02/28/2003,Modified 2/28/03
M129,Missing/incomplete/invalid indicator of x-ray availability for review.,01/01/1997,06/30/2003,"Modified 2/28/03, 6/30/03"
M13,Only one initial visit is covered per specialty per medical group.,01/01/1997,06/30/2007,Modified 6/30/03
M130,"Missing invoice or statement certifying the actual cost of the lens, less discounts, and/or the type of intraocular lens used.",01/01/1997,02/28/2003,Modified 2/28/03
M131,Missing physician financial relationship form.,01/01/1997,02/28/2003,Modified 2/28/03
M132,Missing pacemaker registration form.,01/01/1997,02/28/2003,Modified 2/28/03
M133,Claim did not identify who performed the purchased diagnostic test or the amount you were charged for the test.,01/01/1997,,
M134,Performed by a facility/supplier in which the provider has a financial interest.,01/01/1997,06/30/2003,Modified 6/30/03
M135,Missing/incomplete/invalid plan of treatment.,01/01/1997,02/28/2003,Modified 2/28/03
M136,Missing/incomplete/invalid indication that the service was supervised or evaluated by a physician.,01/01/1997,02/28/2003,Modified 2/28/03
M137,Part B coinsurance under a demonstration project or pilot program.,01/01/1997,11/01/2012,Modified 11/1/12
M138,Patient identified as a demonstration participant but the patient was not enrolled in the demonstration at the time services were rendered. Coverage is limited to demonstration participants.,01/01/1997,,
M139,Denied services exceed the coverage limit for the demonstration.,01/01/1997,,
M14,"No separate payment for an injection administered during an office visit, and no payment for a full office visit if the patient only received an injection.",01/01/1997,,
M141,Missing physician certified plan of care.,01/01/1997,02/28/2003,Modified 2/28/03
M142,Missing American Diabetes Association Certificate of Recognition.,01/01/1997,02/28/2003,Modified 2/28/03
M143,The provider must update license information with the payer.,01/01/1997,12/01/2006,Modified 12/1/06
M144,Pre-/post-operative care payment is included in the allowance for the surgery/procedure.,01/01/1997,,
M15,Separately billed services/tests have been bundled as they are considered components of the same procedure. Separate payment is not allowed.,01/01/1997,,
M18,Certain services may be approved for home use. Neither a hospital nor a Skilled Nursing Facility (SNF) is considered to be a patient's home.,01/01/1997,06/30/2003,Modified 6/30/03
M19,Missing oxygen certification/re-certification.,01/01/1997,02/28/2003,Modified 2/28/03
M2,Not paid separately when the patient is an inpatient.,01/01/1997,,
M20,Missing/incomplete/invalid HCPCS.,01/01/1997,02/28/2003,Modified 2/28/03
M21,Missing/incomplete/invalid place of residence for this service/item provided in a home.,01/01/1997,02/28/2003,Modified 2/28/03
M22,Missing/incomplete/invalid number of miles traveled.,01/01/1997,02/28/2003,Modified 2/28/03
M23,Missing invoice.,01/01/1997,08/01/2005,Modified 8/1/05
