text,label_id,label,display_name,source_type,text_length,word_count
Denial reason: The plan does not cover this item in the submitted setting. Validate supporting information before appeal. action: confirm payer rule. [audit reference REF000435],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,177,25
"Claim review note: Claim lacks documentation required by payer policy. action: route to denial prevention team. Coverage appears active, but another payer rule may still apply. [claim reference REF000688]",8,documentation,Documentation,synthetic_rarc_style,204,29
Denial reason: Referral information is missing or incomplete. Additional follow-up is required. (DOS 2023-06-20) [prebill reference REF000141],2,authorization,Authorization / Referral,synthetic_rarc_style,142,17
Adjudication message: Required attachment was not included with the clm. Additional follow-up is required. (DOS 2023-05-19) [case reference REF000499],8,documentation,Documentation,synthetic_rarc_style,150,19
Remark: Claim denied because the benefit category does not cover this service. Correct and resubmit if appropriate. [audit reference REF000357],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,143,20
clm review note: Payer requested records were not received. action: confirm payer rule. [prebill reference REF000659],8,documentation,Documentation,synthetic_rarc_style,117,16
Remark: The claim was not submitted within the required timeframe. Please review before resubmission. [claim reference REF000083],5,timely_filing,Timely Filing,synthetic_rarc_style,129,17
"Adjudication message: Claim lacks documentation required by payer policy. Please review before resubmission. (claim ID CLM000683) Documentation may be available, but the record should be confirmed. [claim reference REF000683]",8,documentation,Documentation,synthetic_rarc_style,225,29
Remark: Additional documentation is needed before claim review can continue. Validate supporting information before appeal. action: attach support if available. [claim reference REF000149],8,documentation,Documentation,synthetic_rarc_style,188,23
Remark: Medicare secondary payer information is required. Validate supporting information before appeal. (claim ID CLM000136) [case reference REF000136],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,152,18
remark: authorization expired before the date of service. route to the responsible rcm workqueue. (claim line 2) [claim reference REF000222],2,authorization,Authorization / Referral,synthetic_rarc_style,140,20
"Claim review note: Prior authorization was required but not found; Validate supporting information before appeal; (claim line 7) The service may be covered, but another denial condition should be reviewed. [case reference REF000300]",2,authorization,Authorization / Referral,synthetic_rarc_style,232,33
"Payer response: Claim format issue requires correction before payment. (claim ID CLM000508) The service may be covered, but another denial condition should be reviewed. [prebill reference REF000508]",9,other,Other Administrative,synthetic_rarc_style,198,27
REMARK: SUBMISSION EXCEEDED THE PAYER'S FILING LIMIT. CORRECT AND RESUBMIT IF APPROPRIATE. workqueue: pre-bill review. [case reference REF000098],5,timely_filing,Timely Filing,synthetic_rarc_style,145,18
denial reason: another payer is primary and must process the claim first. correct and resubmit if appropriate. (payer edit EDT-722) [case reference REF000332],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,158,23
This decision was based on a National Coverage Determination (NCD). An NCD provides a coverage determination as to whether a particular item or procedure is covered. Visit CMS.gov and search for Medicare Coverage Database to find a copy of the policy.,6,medical_necessity,Medical Necessity,official_rarc,251,41
Denial reason: Coverage was suspended when the claim line was rendered. (DOS 2023-04-03) action: route to denial prevention team. [case reference REF000204],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,156,22
"Denial reason: Operative note or clinical report is missing. Correct and resubmit if appropriate. (encounter ENC39167) Filing date appears within the normal workflow, but the payer response remains unresolved. [claim reference REF000115]",8,documentation,Documentation,synthetic_rarc_style,237,32
payer response: repeat billing detected for the same procedure. correct and resubmit if appropriate. (claim ID CLM000106) status: analyst review recommended. [audit reference REF000106],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,185,24
No appeal right except duplicate claim/treatment issue. This treatment was included in a claim that has been previously billed and adjudicated.,3,duplicate_claim,Duplicate Claim,official_rarc,143,21
"Payer response: The approved authorization does not match the billed procedure; (claim ID CLM000106) status: analyst review recommended. Coding was reviewed, but payer edits may still require follow-up. [audit reference REF000106]",2,authorization,Authorization / Referral,synthetic_rarc_style,230,31
"Adjudication message: Diagnosis and documentation do not justify the service. Route to the responsible RCM workqueue. (claim line 11) Other insurance information may be current, but payer sequencing should be checked. [prebill reference REF000235]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,247,34
Repeat billing detected for the same procedure. Correct and resubmit if appropriate. (claim ID CLM000021) [case reference REF000021],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,132,18
Missing/incomplete/invalid trauma activation sheet.,8,documentation,Documentation,official_rarc,51,4
REMARK: THE APPROVED AUTHORIZATION DOES NOT MATCH THE BILLED PROCEDURE. VALIDATE SUPPORTING INFORMATION BEFORE APPEAL. (review batch B405) [audit reference REF000001],2,authorization,Authorization / Referral,synthetic_rarc_style,166,21
PAYER RESPONSE: CLINICAL NOTES ARE INSUFFICIENT TO VALIDATE THE ENCOUNTER. (DOS 2023-07-01) status: analyst review recommended. [prebill reference REF000486],8,documentation,Documentation,synthetic_rarc_style,157,19
Denial reason: The code billed is not payable with the submitted modifier. Correct and resubmit if appropriate. [claim reference REF000322],1,coding_error,Coding Error,synthetic_rarc_style,139,20
Adjudication message: This claim appears to duplicate a previously submitted claim. Route to the responsible RCM workqueue. (DOS 2023-05-01) status: analyst review recommended. [review reference REF000059],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,205,26
Remark: Operative note or clinical report is missing. Correct and resubmit if appropriate. [claim reference REF000700],8,documentation,Documentation,synthetic_rarc_style,118,16
adjudication message: claim contains inconsistent administrative information. validate supporting information before appeal. (claim ID CLM000230) [case reference REF000230],9,other,Other Administrative,synthetic_rarc_style,172,18
"Remark: Service was already billed for the same patient and date; (payer edit EDT-711) Other insurance information may be current, but payer sequencing should be checked. [case reference REF000045]",3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,197,29
"Secondary payer cannot process without primary payer adjudication. (review batch B592) Filing date appears within the normal workflow, but the payer response remains unresolved. [review reference REF000052]",7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,206,27
Adjudication message: Coordination of benefits information is missing or outdated. (DOS 2023-08-06) action: attach support if available. [case reference REF000274],7,coordination_of_benefits,Coordination of Benefits,synthetic_rarc_style,163,20
"The claim line matches a prior paid or pending line. Correct and resubmit if appropriate. (encounter ENC22441) Eligibility was checked separately, but the line still needs review. [prebill reference REF000132]",3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,209,30
This claim/claim line is not payable under our claims jurisdiction area. You can identify the correct Medicare contractor to process this claim/claim line through the CMS website at www.cms.gov.,9,other,Other Administrative,official_rarc,194,29
Payer response: Clinical notes are insufficient to validate the service. Validate supporting information before appeal. workqueue: pre-bill review. [review reference REF000830],8,documentation,Documentation,synthetic_rarc_style,176,21
Adjudication message: Policy number was not valid for the submitted date of service. Please review before resubmission. (payer edit EDT-958) action: attach support if available. [prebill reference REF000098],0,eligibility,Eligibility / Coverage,synthetic_rarc_style,207,28
"Claim review note: The claim was not submitted within the required timeframe. Please review before resubmission. (payer edit EDT-962) workqueue: pre-bill review. Filing date appears within the normal workflow, but the payer response remains unresolved. [prebill reference REF000050]",5,timely_filing,Timely Filing,synthetic_rarc_style,282,38
Medical records are required to support this claim; Validate supporting information before appeal; (payer edit EDT-824) [prebill reference REF000271],8,documentation,Documentation,synthetic_rarc_style,149,19
payer response: the submitted procedure duplicates another claim in carrier records. validate supporting information before appeal. (review batch B327) [case reference REF000053],3,duplicate_claim,Duplicate Claim,synthetic_rarc_style,178,22
