text,label_id,label,display_name,source_type,text_length,word_count
"Payer response: Patient coverage was inactive on the date of service. Route to the responsible RCM workqueue. (review batch B104) action: attach support if available. Coverage appears active, but another payer rule may still apply. [case reference REF000190]",0,eligibility,Eligibility / Coverage,synthetic_rarc_style,258,38
Claim denied because the benefit category does not cover this service; Route to the responsible RCM workqueue; (review batch B128) [claim reference REF000193],4,not_covered,Coverage / Benefit Exclusion,synthetic_rarc_style,158,23
"Denial reason: Modifier is missing or inconsistent with the billed service; Route to the responsible RCM workqueue; (review batch B533) action: verify before resubmission. Documentation may be available, but the record should be confirmed. [case reference REF000038]",1,coding_error,Coding Error,synthetic_rarc_style,266,37
"Denial reason: Payer received the claim after the contractual deadline; Route to the responsible RCM workqueue; (review batch B391) Filing date appears within the normal workflow, but the payer response remains unresolved. [audit reference REF000076]",5,timely_filing,Timely Filing,synthetic_rarc_style,250,35
Submitted information does not meet coverage determination criteria. (encounter ENC18173) action: verify before resubmission. [claim reference REF000155],6,medical_necessity,Medical Necessity,synthetic_rarc_style,153,17
Missing claimant medical record for this encounter.,8,documentation,Documentation,official_rarc,51,7
Health plan system returned a general processing denial. Validate supporting information before appeal. (review batch B387) [case reference REF000173],9,other,Other Administrative,synthetic_rarc_style,150,19
Clinical Trial is not a covered benefit.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,40,7
"Clinical criteria were not met for the billed procedure. Additional follow-up is required. The service may be covered, but another denial condition should be reviewed. [prebill reference REF000191]",6,medical_necessity,Medical Necessity,synthetic_rarc_style,197,28
Treatment is not covered unless the subscriber is classified as at high risk.,4,not_covered,Coverage / Benefit Exclusion,official_rarc,77,13
CLAIM FORMAT ISSUE REQUIRES CORRECTION BEFORE PAYMENT. CORRECT AND RESUBMIT IF APPROPRIATE. (payer edit EDT-359) [review reference REF000146],9,other,Other Administrative,synthetic_rarc_style,141,18
Denial reason: Documentation does not support the billed procedure details. Correct and resubmit if appropriate. [review reference REF000120],8,documentation,Documentation,synthetic_rarc_style,141,18
You are required to code to the highest level of specificity.,1,coding_error,Coding Error,official_rarc,61,11
"Remark: Clinical notes are insufficient to validate the treatment; Correct and resubmit if appropriate; (encounter ENC54401) Other insurance information may be current, but payer sequencing should be checked. [audit reference REF000255]",8,documentation,Documentation,synthetic_rarc_style,236,31
"Records indicate this claimant was a prisoner or in custody of a Federal, State, or local authority when the service was rendered. This payer does not cover items and services furnished to an individual while he or she is in custody under a penal statute or rule, unless under State or local law, the individual is personally liable for the cost of his or her health care while in custody and the State or local government pursues the collection of such debt in the same way and with the same vigor as the collection of its other debts. The provider can collect from the Federal/State/ Local Authority as appropriate.",0,eligibility,Eligibility / Coverage,official_rarc,617,109
