label_id,label,display_name,business_definition,buyer_explanation,example_signals,operational_owner,first_pass_fix
0,eligibility,Eligibility / Coverage,"Patient coverage, enrollment, member ID, or benefit eligibility issue.","Coverage was inactive, missing, expired, or could not be verified for the service date.",inactive coverage; member not eligible; subscriber ID mismatch; benefit period issue,Front desk / eligibility verification team,Verify active coverage before claim submission and correct subscriber/member identifiers.
1,coding_error,Coding Error,"Procedure, diagnosis, modifier, or code-combination issue.","The submitted coding does not match payer rules, documentation, or claim format requirements.",invalid CPT; modifier missing; diagnosis inconsistent; code not billable,Coding team,"Review CPT/HCPCS, ICD, modifier, and NCCI-style code-pair edits before submission."
2,authorization,Authorization / Referral,"Prior authorization, referral, pre-certification, or approval number issue.","The payer required approval before service, but authorization was missing, invalid, or expired.",prior auth missing; referral required; authorization expired; auth number invalid,Authorization team,Confirm authorization requirement and attach valid approval details before submission.
3,duplicate_claim,Duplicate Claim,Claim appears to duplicate a previous submission or paid claim.,The payer identified the claim as already processed or matching another submitted claim.,duplicate service; already paid; repeat claim; same patient/date/service/provider,Billing operations,Check prior submissions and resubmit only corrected or appeal-ready claims.
4,not_covered,Coverage / Benefit Exclusion,"Service is excluded, non-covered, investigational, bundled, or not payable under plan rules.",The payer policy does not cover the submitted service for this patient or setting.,non-covered service; benefit exclusion; bundled service; policy limitation,Revenue integrity / billing policy,Validate benefit coverage and payer medical/payment policy before billing.
5,timely_filing,Timely Filing,"Claim, corrected claim, or appeal submitted after payer filing deadline.",The claim was received outside the allowed filing window.,filing limit exceeded; late submission; appeal window expired; proof of timely filing needed,Billing operations,Track payer filing limits and submit corrected claims before deadline.
6,medical_necessity,Medical Necessity,Payer does not consider the service medically necessary based on diagnosis or documentation.,The clinical reason submitted does not support the billed service under payer criteria.,diagnosis does not support service; LCD/NCD criteria not met; necessity not established,Clinical documentation / coding team,"Validate diagnosis support, payer policy criteria, and clinical documentation before submission."
7,coordination_of_benefits,Coordination of Benefits,Primary/secondary payer order or other insurance responsibility issue.,The payer requires another carrier to process first or needs updated COB information.,other insurance primary; COB required; Medicare secondary; payer order mismatch,Eligibility / billing team,Verify primary payer order and collect updated COB information before submission.
8,documentation,Documentation,"Missing, incomplete, illegible, or insufficient supporting documentation.","The claim needs additional records, notes, orders, or documentation support.",medical records missing; operative note required; documentation incomplete; attachment missing,Clinical documentation / HIM,"Attach required notes, orders, records, and payer-specific documentation before submission."
9,other,Other Administrative,Administrative or payer-processing reason not captured by the other root-cause buckets.,The denial reason requires manual review because it is not one of the common root causes.,payer processing issue; claim format issue; provider enrollment review; manual review needed,RCM analyst / billing supervisor,Route to analyst review and update category mapping if a repeatable pattern emerges.
